"STORE_SN","AREA_SD_CODE","AREA_DETAIL_CODE","PREF_SN","STORE_NM","STORE_ADDR","STORE_SCORE","LATITUDE","LONGITUDE"
"S129824_1623823558676","01","010901","00010000","육군사관학교 육군박물관.기념관","서울특별시 노원구 공릉동 산230-30","0","37.6271744458","127.1033690283"
"S129846_1623823558602","01","012308","00010000","백송갤러리","서울특별시 종로구 관훈동 197-9","0","37.5732896946","126.9852924331"
"S130229_1623823558589","01","012322","00010000","마로니에극장","서울특별시 종로구 동숭동 130-47","0","37.580572527","127.0045571377"
"S130243_1623823558667","01","012025","00010000","영산아트홀","서울특별시 영등포구 여의도동 12 C.C.M.M빌딩","0","37.5292437306","126.9248880718"
"S130285_1623823558716","01","012361","00010000","(주)교보문고","서울특별시 종로구 종로1가 1 교보생명빌딩","0","37.5709759433","126.9779820539"
"S130352_1623823558634","01","012136","00010000","서울특별시교육청 남산도서관","서울특별시 용산구 후암동 30-84 남산도서관","0","37.5525420492","126.9821377524"
"S130630_1623823558603","01","012125","00010000","백해영갤러리","서울특별시 용산구 이태원동 101-40","0","37.5365108065","126.994859269"
"S130939_1623823558641","01","010603","00010000","세종대학교박물관","서울특별시 광진구 군자동 98 세종대학교","0","37.5514577128","127.0738627621"
"S131010_1623823558494","01","012428","00100000","롯데호텔 실내수영장","서울특별시 중구 소공동 1 롯데호텔","0","37.5653516507","126.9809819395"
"S131332_1623823558499","01","012012","00100000","문래청소년수련관 수영장(실내)","서울특별시 영등포구 문래동3가 73 시립문래청소년센터","0","37.5188499426","126.8940134004"
"S131334_1623823558504","01","011502","00100000","서초YMCA 수영장(실내)","서울특별시 서초구 반포동 114-3","0","37.4989123183","126.9905301703"
"S131607_1623823558492","01","010903","00100000","광운대학교 아이스링크","서울특별시 노원구 월계동 447-1 광운대학교","0","37.6197883822","127.0584066698"
"S131624_1623823558510","01","012369","00100000","종로구시설관리공단 종로구민회관(실내)","서울특별시 종로구 창신동 222-8","0","37.5735124146","127.0144592128"
"S131901_1623823558496","01","012460","00100000","명동사격장","서울특별시 중구 충무로2가 11-1","0","37.561963256","126.9865898579"
"S133413_1637805807096","01","011205","01000000","홀로","서울특별시 동작구 사당동 1020-15 소망하우스","0","37.480754","126.9798543"
"S133733_1643878660215","01","012360","00100000","종로살롱","서울특별시 종로구 적선동 19 하늘빌딩","0","37.5763732","126.9737983"
"S134402_1643878660218","01","011609","01000000","어라운드데이","서울특별시 성동구 성수동1가 685-483","0","37.5468605","127.0412551"
"S134888_1649657876458","01","010605","00010000","또한","서울특별시 광진구 자양동 6-73","0","37.5399454","127.0683766"
"S135174_1648438496858","01","012107","00100000","퍼퓸바 by 익스큐제 모아","서울특별시 용산구 보광동 265-949","0","37.5322412","126.9990306"
"S136251_1623823558503","01","012025","00100000","서울마리나 요트&클럽","서울특별시 영등포구 여의도동 81-8","0","37.5348539529","126.9116252334"
"S139344_1657682419185","01","010607","10000000","평화김해뒷고기 건대점","서울특별시 광진구 화양동 9-19","0","37.5415668","127.0693396"
"S141322_1623823558663","01","011325","00010000","양화진홀 전시관","서울특별시 마포구 합정동 142-1 양화진 홍보관","0","37.546477603","126.911699899"
"S141872_1655175660786","01","012125","01000000","리지트커피","서울특별시 용산구 이태원동 44-70","0","37.5332843","126.9906293"
"S144045_1655175660819","01","012443","01000000","감성커피 동대문역사문화공원역점","서울특별시 중구 을지로7가 32-3","0","37.5653063","127.0093766"
"S145058_1649657876494","01","012012","00010000","오로앤샵","서울특별시 영등포구 문래동3가 58-50","0","37.5146012","126.8946193"
"S146351_1648438496923","01","011420","00100000","시옷디귿스튜디오","서울특별시 서대문구 홍제동 344-19","0","37.5851832","126.9365545"
"S148627_1655175660894","01","012432","01000000","포킵시","서울특별시 중구 신당동 826-1","0","37.5550632","127.0061325"
"S148667_1648438497513","01","011312","01000000","미디엄","서울특별시 마포구 서교동 360-10","0","37.5519166","126.9239837"
"S150041_1643878660343","01","011504","01000000","엔트런스","서울특별시 서초구 서초동 1643-32","0","37.4924514","127.0190615"
"S153091_1643878660369","01","012505","01000000","우지커피","서울특별시 중랑구 신내동 565-2 영춘빌딩","0","37.6057006","127.095905"
"S153639_1648438496979","01","011609","00100000","공드리워크샵","서울특별시 성동구 성수동1가 685-493","0","37.5475058","127.0399041"
"S154580_1637805807199","01","011903","00100000","카페화목토","서울특별시 양천구 신정동 1008-12","0","37.5233022","126.8642221"
"S154968_1643878660405","01","012505","00100000","프라페","서울특별시 중랑구 신내동 473-3","0","37.604911","127.0980609"
"S155435_1637805807149","01","011413","01000000","아토","서울특별시 서대문구 창천동 53-3","0","37.5585342","126.9346012"
"S155447_1637805806893","01","011110","01000000","와플대학 회기역캠퍼스","서울특별시 동대문구 휘경동 317-101 회기역사","0","37.5897449","127.0580466"
"S158608_1656916499584","01","011404","01000000","도나파스텔","서울특별시 서대문구 대현동 27-20 신촌가이아","0","37.558073","126.9431952"
"S158764_1648438497005","01","011728","00100000","그비누앤공방","서울특별시 성북구 석관동 194-2","0","37.6106035","127.0612914"
"S159061_1643878660434","01","012469","01000000","로이터 커피 셸터","서울특별시 중구 필동3가 62-11 삼경빌딩","0","37.5567625","126.995934"
"S159136_1649657876511","01","010605","00010000","토이쩔어스","서울특별시 광진구 자양동 10-12","0","37.5400739","127.0658275"
"S159382_1625640652766","01","012447","00010000","서향관","서울 중구 인현동2가 95-5 203호","0","37.5649873","126.9952127"
"S159508_1625640652752","01","012379","00010000","파움스서울","서울 종로구 필운동 89-2 4층","0","37.577877","126.9691135"
